symbol,profit,plays
AAPL,18.14599999999905,15
AAVE-USD,551.485118103029,91
AIG,16.655000000000427,18
AVAX-USD,888.3419219970692,103
AXP,68.38999999999987,11
AXS,-81.74500000000035,17
BA,-3.385999999999285,11
BAC,-28.129999999999654,12
BAT-USD,303.92274951934155,91
BCH-USD,387.14289300842256,92
BUD,-339.4119999999998,20
C,-40.78500000000054,11
CAT,36.98299999999904,15
COP,-1647.5589999999993,13
CVX,-1606.247000000001,21
DAI-USD,-54.48599368334794,122
DNA,-2284.265999999998,23
DOGE-USD,595.029370158893,93
ETH-USD,59.06888085937544,7
F,20.484999999999445,16
FB,29.63799999999992,14
GE,139.6029999999987,20
GM,-27.99799999999982,15
GME,-30.032000000000153,10
GRT-USD,-80.70078578591892,6
GS,-35.19999999999982,18
HAL,152.3000000000004,14
HD,39.1200000000008,16
HPQ,-297.00499999999965,3
IBM,-166.40499999999975,11
INFY,14.429999999999836,10
JNJ,-46.93100000000004,8
JPM,-30.92200000000048,14
KO,42.68000000000029,15
LINK-USD,284.7400136470799,89
LLY,14.240000000000464,12
LTC-USD,463.3818526458715,81
MATIC-USD,528.2055103182831,94
MKR-USD,282.8147808837912,54
MMM,-51.639000000000124,17
MO,149.24700000000053,25
MRK,-1839.1549999999988,25
MSFT,37.28100000000131,14
NVAX,422.75100000000043,15
NVDA,-1867.6580000000001,11
PAXG-USD,96.18725096435446,96
PD,-1951.9400000000007,12
PFE,-1763.8519999999985,18
PG,-15.271999999999707,13
RIG,-2101.273,9
RTX,28.9099999999994,6
SHIB-USD,527.200350987499,85
SLB,-1895.2649999999996,16
SOL-USD,907.5362537384017,86
SUSHI-USD,-1244.9035806655872,101
TRX-USD,669.5743631906739,107
TSLA,-50.25100000000009,14
TXN,101.39999999999895,21
UNH,-26.20299999999952,14
UNI-USD,408.21114641951294,90
UPS,-33.815000000000055,10
VIA,2.0659999999998035,15
VLO,-1660.1109999999996,24
VZ,134.25699999999915,15
WFC,-25.55999999999949,8
WMT,27.98800000000051,17
X,181.30799999999908,16
